DocScan,,deepin-v23,,
HanGuangScanner,,deepin-v23,,
accerciser,3.38.0-1,deepin-v23,,
alacritty,0.13.2-2,deepin-v23,,
alsa-tools-gui,1.2.11-1.1,deepin-v23,,
ark,21.08.3-1deepin0,deepin-v23,,
artikulate,21.08.0-1,deepin-v23,,
audacious,4.3.1-2.1,deepin-v23,,
audacity,3.4.2+dfsg-1deepin0,deepin-v23,,
aurora-printer-a121,1.0.3,deepin-v23,,
avahi-discover,0.8-5,deepin-v23,,
avahi-ui-utils,0.8-5,deepin-v23,,
baobab,41.0-1,deepin-v23,,
basket,2.49-1,deepin-v23,,
bb,1.3rc1-13,deepin-v23,,
bisheng-engine,2.0.14-1,deepin-v23,,
biz.zcjt.gaopaiyi,1.0.0,deepin-v23,,
biz.zcjt.scanner,1.0.2.0,deepin-v23,,
biz.zcjt.zc-a5930dn,1.0.0-23166,deepin-v23,,
biz.zcjt.zc-a5933dn,1.0.0-23324,deepin-v23,,
biz.zcjt.zhongchu-sane,20240911-6.6.10.030,deepin-v23,,
blinken,21.08.0-1,deepin-v23,,
blueman,2.3.5-3deepin0+rb1,deepin-v23,,
brasero,3.12.3-2,deepin-v23,,
btop,1.3.0-1,deepin-v23,,
butt,0.1.37-2,deepin-v23,,
caja,1.24.0-1-deepin1,deepin-v23,,
cataclysm-dda-sdl,0.G-4deepin1,deepin-v23,,
cc.lotuscard.demo,1.0.0.0,deepin-v23,,
cf900,1.0,deepin-v23,,
cgoban,1.9.14-19,deepin-v23,,
cherrytree,1.0.2+dfsg-1,deepin-v23,,
chromium,128.0.6613.84-1deepin1,deepin-v23,,
cinnamon-screensaver,5.0.7-1,deepin-v23,,
cinnamon-settings-daemon,5.0.4-2,deepin-v23,,
citizen-cx-02-printerdriver,1.0.0-0,deepin-v23,,
citizen-cx-02s-printerdriver,1.0.0-0,deepin-v23,,
citizen-cx-02w-printerdriver,1.0.0-0,deepin-v23,,
citizen-cy-printerdriver,1.0.0-0,deepin-v23,,
citizen-cz-01-printerdriver,1.0.0-0,deepin-v23,,
claws-mail,4.2.0-2,deepin-v23,,
clipit,1.4.4+git20190202-2,deepin-v23,,
cmake-qt-gui,3.30.5-1,deepin-v23,,
cmatrix,2.0-3,deepin-v23,,
cn.com.hisign.hidscanner,1.0.0-1,deepin-v23,,
cn.com.hisign.hsivlive,3.10.8,deepin-v23,,
cn.com.hsic.demo,1.0.0-1,deepin-v23,,
cn.com.secuprint.smlmfp,1.0.3.0,deepin-v23,,
cn.com.signpro.hwtabletserv,2.7+b69,deepin-v23,,
cn.com.signpro.sphttpserv,3.2+b83,deepin-v23,,
cn.com.tongzhi.crypt.http,1.0.3.4406-1,deepin-v23,,
cn.com.ultrasec.uskmanager,,deepin-v23,,
cn.dascom.dc8600-driver,1.0.0,deepin-v23,,
cn.hengbao.hbd7600-driver,1.0.8,deepin-v23,,
cn.huahom.pam.unlock,0.1.0,deepin-v23,,
cn.hzchancel.fifthfootprint,0.0.1,deepin-v23,,
cn.hzchancel.fouthfootprint,0.0.1,deepin-v23,,
