0install,2.18-2ubuntu2,
2048,0.20221023.1237-1,
2048-qt,0.1.6-2build4,
3dchess,0.8.1-21ubuntu1,
3depict,0.0.23-2build3,
4pane,8.0-1build4,
7kaa,2.15.6+ds-1build2,
a2d,2.0.3-2,
a7xpg,0.11.dfsg1-11,
abe,1.1+dfsg-5,
abiword,3.0.5~dfsg-3.2build4,
accerciser,3.42.0-1ubuntu0.1,
accountwizard,23.08.5-0ubuntu3,
ace-of-penguins,1.5~rc2-5ubuntu4,
acetoneiso,2.4-4build2,
achilles,2-12build2,
aclock.app,0.4.0-2build5,
aconnectgui,0.9.0rc2-1-10.3build2,
actiona,3.10.1-1build6,
activity-aware-firefox,0.4.2-1,
activity-log-manager,0.9.7-0ubuntu31,
add64,3.9.3-0ubuntu3,
addressmanager.app,0.4.8-3build6,
adonthell-data,0.3.8-1,
adun.app,0.81-14build4,
aegisub,3.2.2+dfsg-7.1build2,
aeolus,0.10.4-1build3,
aerc,0.17.0-1ubuntu0.24.04.2,
afterstep,2.2.12-17.1build3,
afterstep-data,2.2.12-17.1build3,
agenda.app,0.46-3build3,
aghermann,1.1.2-5build2,
agordejo,0.4.2-0ubuntu1,
airstrike,0.99+1.0pre6a-11,
aisleriot,3.22.31-1build2,
akira,0.0.16-2build2,
akonadiconsole,23.08.5-0ubuntu5.2,
akonadi-import-wizard,23.08.5-0ubuntu4,
akregator,23.08.5-0ubuntu4.1,
alacarte,3.52.0-1,
alacritty,0.13.2-2,
aladin,12.060+dfsg-3,
alarm-clock-applet,0.4.1-5build2,
alex4,1.1-10ubuntu4,
algobox,1.1.1+dfsg-1build2,
alien-arena,7.71.3+dfsg-3ubuntu1,
alienblaster,1.1.0-11,
aliki,0.3.0-6build2,
alkimia-bin,8.1.2-2build2,
allure,0.11.0.0-1,
almanah,0.12.3-2build3,
alsamixergui,0.9.0rc2-1-10.2build2,
alsaplayer-common,0.99.81-2build6,
alsa-scarlett-gui,0.4.0-1,
alsa-tools-gui,1.2.11-1.1,
altos,1.9.17-1ubuntu3,
amberol,0.10.3-3ubuntu1,
amide,1.0.6-5build2,
amoebax,0.2.1+dfsg-6,
amphetamine,0.8.10-21build1,
ams,2.2.1-1build3,
amsynth,1.13.2-1build2,
amule,2.3.3-3build5,
amule-utils-gui,2.3.3-3build5,
anarchism,15.3-3,
android-file-transfer,4.3-1build3,
angband-data,4.2.5+dfsg1-1,
angelfish,23.08.5-0ubuntu3,
angrydd,1.0.1-14,
anki,2.1.15+dfsg-3ubuntu4.1,
ansifilter-gui,2.18+dfsg1-2build2,
antigravitaattori,0.0.3-10build2,
antimicro,3.1.4-2,
antimony,0.9.3-2build9,
anymeal,1.26-1build2,
aobook,1.0.3-3build2,
